experiment_id,condition,split,task_id,run_slot,skill_version,outcome,success,tool_calls,invalid_tool_calls,prohibited_actions,unnecessary_actions,steps,input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd
exp-20000101T000000Z-deadbeef,evolved_naive,test,IR-TE-01,0,v003,success,1,6,0,0,0,7,4485,219,4704,105,0
exp-20000101T000000Z-deadbeef,evolved_naive,test,IR-TE-02,0,v003,success,1,5,0,0,0,6,3618,186,3804,90,0
exp-20000101T000000Z-deadbeef,evolved_naive,test,IR-TE-03,0,v003,success,1,7,0,0,0,8,5422,240,5662,116,0
exp-20000101T000000Z-deadbeef,evolved_naive,test,IR-TE-04,0,v003,success,1,6,0,0,0,7,4553,217,4770,105,0
exp-20000101T000000Z-deadbeef,evolved_naive,test,IR-TE-05,0,v003,success,1,6,0,0,0,7,4485,219,4704,105,0
exp-20000101T000000Z-deadbeef,evolved_naive,test,IR-TE-06,0,v003,success,1,5,0,0,0,6,3618,186,3804,90,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-01,0,,success,1,7,0,0,0,8,3453,239,3692,115,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-02,0,,success,1,6,0,0,0,7,2758,206,2964,100,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-03,0,,budget_exhausted,0,8,0,0,1,8,3503,192,3695,92,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-04,0,,success,0,7,0,0,1,8,3524,237,3761,115,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-05,0,,success,1,7,0,0,0,8,3453,239,3692,115,0
exp-20000101T000000Z-deadbeef,no_skill,test,IR-TE-06,0,,success,1,6,0,0,0,7,2758,206,2964,100,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-01,0,v001,success,1,6,0,0,0,7,6067,219,6286,105,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-02,0,v001,success,1,5,0,0,0,6,4974,186,5160,90,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-03,0,v001,success,1,7,0,0,0,8,7228,240,7468,116,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-04,0,v001,success,1,6,0,0,0,7,6132,217,6349,105,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-05,0,v001,success,1,6,0,0,0,7,6067,219,6286,105,0
exp-20000101T000000Z-deadbeef,seed,test,IR-TE-06,0,v001,success,1,5,0,0,0,6,4974,186,5160,90,0
