experiment_id,condition,split,task_id,run_slot,skill_version,model_id,outcome,success,tool_calls,invalid_tool_calls,prohibited_actions,unnecessary_actions,steps,input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd
exp-20000101T000000Z-deadbeef,evolved_verified,test,IR-TE-01,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4457,219,4676,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,test,IR-TE-02,0,v002,mock-incident-v1,success,1,5,0,0,0,6,3594,186,3780,90,0
exp-20000101T000000Z-deadbeef,evolved_verified,test,IR-TE-03,0,v002,mock-incident-v1,success,1,7,0,0,0,8,5390,240,5630,116,0
exp-20000101T000000Z-deadbeef,evolved_verified,test,IR-TE-04,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4525,217,4742,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,test,IR-TE-05,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4457,219,4676,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,test,IR-TE-06,0,v002,mock-incident-v1,success,1,5,0,0,0,6,3594,186,3780,90,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-01,0,v001,mock-incident-v1,success,1,7,0,0,0,8,7230,240,7470,116,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-01,0,v002,mock-incident-v1,success,1,7,0,0,0,8,5390,240,5630,116,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-02,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4527,217,4744,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-02,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6135,217,6352,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-03,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6067,219,6286,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-03,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4459,219,4678,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-04,0,v002,mock-incident-v1,success,1,5,0,0,0,6,3595,186,3781,90,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-04,0,v001,mock-incident-v1,success,1,5,0,0,0,6,4974,186,5160,90,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-05,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4462,209,4671,101,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-05,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6070,209,6279,101,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-06,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6135,217,6352,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-06,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4527,217,4744,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-07,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6067,219,6286,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-07,0,v002,mock-incident-v1,success,1,6,0,0,0,7,4459,219,4678,105,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-08,0,v002,mock-incident-v1,success,1,5,0,0,0,6,3595,186,3781,90,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-08,0,v001,mock-incident-v1,success,1,5,0,0,0,6,4974,186,5160,90,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-09,0,v001,mock-incident-v1,success,1,7,0,0,0,8,7230,240,7470,116,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-09,0,v002,mock-incident-v1,success,1,7,0,0,0,8,5390,240,5630,116,0
exp-20000101T000000Z-deadbeef,evolved_verified,train,IR-TR-10,0,v001,mock-incident-v1,success,1,6,0,0,0,7,6137,217,6354,105,0
